close,ema20,ema50,rsi14,ema_spread,price_vs_ema20,candle_range,rsi_slope,ema20_slope,volume_ratio,trend,bos,future_return,target
85367.93,84288.67016592663,82789.0724,72.09338600931073,0.017566289424220793,0.012642450555769217,0.0035776901232113544,-4.069041167078851,113.60629832350241,0.7462969084039655,UPTREND,NO_BOS,-2000.0199999999895,0
85490.46,84882.23492367685,84508.12304076643,50.90650252182874,0.004376065854721374,0.007114537415322795,0.004452894510100811,-9.941766599151151,64.02369224454742,0.8585833554800335,UPTREND,BOS_UP,-2182.7100000000064,0
85391.35,84987.89226178537,84581.8534028759,72.47851457067702,0.004755035011268302,0.004724808053914571,0.0038925488354499536,-7.360038521312234,42.469235601543915,0.6437266184166945,UPTREND,NO_BOS,-2353.600000000006,0
85716.77,85057.30918923438,84626.35993609646,70.00728352522634,0.005027595570130814,0.00769348647604925,0.004589416983397757,-2.471231045450679,69.41692744901229,0.6805049334968872,UPTREND,NO_BOS,-2113.2100000000064,0
85850.0,85132.80355216443,84674.34582095542,70.07602224768729,0.0053402181853117224,0.00835406462242942,0.003871636575422302,0.06873872246094948,75.4943629300542,1.0306848962010875,UPTREND,BOS_UP,-2388.9900000000052,0
85589.23,85286.56669304565,84794.12810811517,68.37121448511968,0.005753511100993452,0.0035362312168756033,0.0037049053952232756,2.909013543429836,31.85929546886473,0.661938542089068,UPTREND,NO_BOS,-2062.020000000004,0
85320.15,85142.3088874763,84946.93848125506,52.34615823724169,0.0022898507119508012,0.002084397560525725,0.0021221247266911473,4.326894304945469,18.720117107746773,0.6404052659996957,UPTREND,NO_BOS,2123.5699999999924,1
85226.44,85150.32137438333,84957.89932512741,48.43590592310817,0.00225777410456104,0.0008931339337495418,0.0013826695096028475,-3.9102523141335155,8.012486907027778,0.4263882563366945,UPTREND,NO_BOS,2036.75,1
85168.81,85152.08219587064,84966.17033198517,42.71962415206509,0.0021828632322733015,0.00019640763008619208,0.0018243767876996832,-5.716281771043086,1.760821487303474,0.40716212557487264,DOWNTREND,NO_BOS,2166.0099999999948,1
85185.13,85155.22960578772,84974.75698563282,44.37701117946834,0.002118593000385227,0.00035100485509947493,0.00168045761038334,1.657387027403253,3.1474099170882255,0.3401921502630289,DOWNTREND,NO_BOS,2461.4600000000064,1
85088.54,85148.87821476032,84979.2190646276,47.32335163832242,0.0019939130478995202,-0.0007091226945523579,0.0012599816614553077,2.946340458854081,-6.351391027405043,0.3800497505111013,DOWNTREND,NO_BOS,2566.3099999999977,1
84955.42,85130.45362287838,84978.28576797554,53.210153808264614,0.0017911494628929363,-0.0020602996592611203,0.0036236652117075737,5.886802169942193,-18.424591881936067,0.8363958986814011,DOWNTREND,BOS_DOWN,2650.770000000004,1
84784.01,85097.45899212806,84970.66711040787,34.626616041381425,0.001495469272097253,-0.003697029571119153,0.0032700741566717593,-18.58353776688319,-32.994630750326905,1.8260878749334073,DOWNTREND,BOS_DOWN,2921.979999999996,1
84647.3,85054.58670716349,84957.98604725463,33.68542598837452,0.0011412137174943297,-0.004811573519338275,0.0019845878131967026,-0.9411900530069062,-42.87228496457101,0.6874058863906198,DOWNTREND,BOS_DOWN,2964.9100000000035,1
