close,ema20,ema50,rsi14,trend,bos,future_return,target
79656.01,80847.77070182665,81036.2788,41.165014509124326,DOWNTREND,BOS_DOWN,45.720000000001164,1
79756.01,80734.26968260507,80982.15061176471,35.678356334566644,DOWNTREND,BOS_DOWN,1208.840000000011,1
78827.21,80641.10209378554,80934.0666662053,33.114865742479736,DOWNTREND,BOS_DOWN,2474.0199999999895,1
79108.39,80468.35046580595,80851.44483615804,18.780144608145335,DOWNTREND,BOS_DOWN,2780.0099999999948,1
79514.97,80338.83042144348,80783.089744544,23.94938026785738,DOWNTREND,BOS_DOWN,2153.5099999999948,1
79598.15,80260.36752416314,80733.35955848347,27.94391335299494,DOWNTREND,NO_BOS,1983.840000000011,1
79642.41,80197.29918852856,80688.84153658216,29.568947190715974,DOWNTREND,NO_BOS,1777.3300000000017,1
79698.95,80144.45259914489,80647.8050057358,32.01893156234988,DOWNTREND,NO_BOS,1713.0899999999965,1
79398.54,80102.02378017872,80610.59500551087,33.35040184651842,DOWNTREND,NO_BOS,1998.070000000007,1
79428.46,80035.0253249236,80563.0634366673,30.14548451757952,DOWNTREND,NO_BOS,2027.5399999999936,1
79313.61,79977.25719874041,80518.56918424898,27.68129662589466,DOWNTREND,NO_BOS,1776.3800000000047,1
79580.0,79914.05270362226,80471.31588290588,25.160446008505218,DOWNTREND,NO_BOS,1938.6699999999983,1
79604.6,79882.23816042014,80436.36231887036,33.67896289882641,DOWNTREND,NO_BOS,1526.409999999989,1
79370.24,79855.79643085631,80403.74418871859,37.124632386729274,DOWNTREND,NO_BOS,1928.8999999999942,1
79044.85,79809.55296125096,80363.21461269041,37.82067036490896,DOWNTREND,NO_BOS,2014.2999999999884,1
79451.63,79736.7241077985,80311.51403964373,40.440049304543344,DOWNTREND,BOS_DOWN,1273.0800000000017,1
79809.16,79709.57228800816,80277.7930969126,45.65573583311463,DOWNTREND,NO_BOS,550.8499999999913,1
79804.71,79719.05683200738,80259.41532840623,66.74556697374106,DOWNTREND,BOS_UP,775.2899999999936,1
79745.98,79727.2142765781,80241.58374690011,63.1121857157922,DOWNTREND,NO_BOS,1068.9000000000087,1
